codigo curso,Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano,Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE,Área Geral CINE
1,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,19558,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,460,3000,Semestral,,,8.0 Semestres,230,,,8.0 Semestres,230,,2646,Campus X - Norte,Rua Amazonas da Silva,737,,Vila Guilherme,000000003550308,São Paulo,SP,09/02/1998,1987-10-06,,,3,294,2017,3,2017,2,2017,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,69815,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,230,3000,Semestral,,,,,,,8.0 Semestres,230,,2639,Campus III - Anchieta,Rua Francisco Bautista,300,Km 12 da Rodovia Anchieta,Jardim Santa Cruz,000000003550308,São Paulo,SP,14/02/2001,,,,4,299,2017,4,2017,3,2017,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,69764,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,460,3000,Semestral,,,8.0 Semestres,230,,,8.0 Semestres,230,,695414,Campus XI - Tatuapé,RUA ANTONIO MACEDO,505,,PARQUE SÃO JORGE,000000003550308,São Paulo,SP,14/02/2001,1987-10-06,,,4,334,2017,4,2017,3,2017,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,18711,FIMSP,FACULDADE INOVA MAIS DE SÃO PAULO,Privada com fins lucrativos,Faculdade,Ativa,,1441498,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,100,3200,Semestral,,,8.00 Semestres,50,8.00 semestres,50,,,,1065862,Campus Principal,Avenida Rangel Pestana,1105,- de 501 ao fim - lado ímpar,Brás,000000003550308,São Paulo,SP,29/10/2020,2020-10-02,4,2020,,,,,,,,,,,,,,,
1,374,FMU,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,Privada sem fins lucrativos,Centro Universitário,Ativa,,1574854,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,160,6606,Semestral,,,8.00 Semestres,60,,,8.00 Semestres,100,,708152,FMU - Morumbi,Av. Morumbi,501,FMU - Morumbi,Morumbi,000000003550308,São Paulo,SP,Não iniciado,2021-05-01,,,,,,,,,,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,72331,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,630,3640,Semestral,,,8.00 Semestres,200,,,8.00 Semestres,430,,706703,UNIDADE VERGUEIRO SEDE,Rua Vergueiro,235,,Liberdade,000000003550308,São Paulo,SP,01/03/2004,1992-07-31,,,3,269,2017,3,2017,2,2017,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,5387,IMPACTA,FACULDADE IMPACTA,Privada sem fins lucrativos,Faculdade,Ativa,,1454957,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,150,3840,Semestral,,,8.0 Semestres,50,,,8.0 Semestres,100,,1069717,Campus Rudge,Rua do Bosque,60,Campus Rudge,Barra Funda,000000003550308,São Paulo,SP,13/05/2019,2018-12-17,,,,,,,,,,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,1388,,CENTRO UNIVERSITÁRIO SUMARÉ,Privada com fins lucrativos,Centro Universitário,Ativa,,21305,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,150,3200,Semestral,,,8.00 Semestres,150,,,,,,658445,CENTRO UNIVERSITÁRIO SUMARÉ - Unidade Acadêmica Sumaré Sede,Rua Capote Valente,1121,de 1025/1026 ao fim,Pinheiros,000000003550308,São Paulo,SP,01/03/2000,2000-02-25,4,2019,3,281,2017,2,2017,2,2017,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,221,UNICSUL,UNIVERSIDADE CRUZEIRO DO SUL,Privada com fins lucrativos,Universidade,Ativa,,1454414,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,200,3200,Semestral,,,8.00 Semestres,100,,,8.00 Semestres,100,,1543,POLO SP_ANALIA FRANCO,Av. Regente Feijó,1.295,Jardim Anália Franco,Tatuapé,000000003550308,São Paulo,SP,20/02/2019,2018-08-08,,,,,,,,,,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
1,316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,66272,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,560,3640,Semestral,,,8.00 Semestres,220,,,8.00 Semestres,340,,1801,MEMORIAL,Rua Adolfo Pinto,109,,Barra Funda,000000003550308,São Paulo,SP,02/03/2001,1992-07-31,,,3,269,2017,3,2017,2,2017,0614C01,Ciência da computação,0614,Ciência da computação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
