codigo curso,Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano,Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE,Área Geral CINE
2,374,FMU,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,Privada sem fins lucrativos,Centro Universitário,Ativa,,1574846,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,160,4204,Semestral,,,5.00 Semestres,60,,,5.00 Semestres,100,,708152,FMU - Morumbi,Av. Morumbi,501,FMU - Morumbi,Morumbi,3550308,São Paulo,SP,07/02/2021,2020-12-28,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,1743,FATEC OSWALDO CRUZ,FACULDADE DE TECNOLOGIA OSWALDO CRUZ,Privada com fins lucrativos,Faculdade,Ativa,,120446,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,70,2300,Semestral,,,,,,,5.00 Semestres,70,,658732,CAMPUS - SÃO PAULO - BARRA FUNDA,Rua Brigadeiro Galvão Prédio,540,Prédio 1 - 7º Andar,Barra Funda,3550308,São Paulo,SP,22/08/2001,2001-06-29,3,2012,4,331,2017,5,2017,3,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,15746,FATECIPI,Faculdade de Tecnologia do Ipiranga,Pública Estadual,Faculdade,Ativa,,1150259,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,160,2800,Semestral,,,,,6.0 semestres,80,6.0 Semestres,80,,153065,Unidade Sede,Rua Frei João,59,,Vila Nair,3550308,São Paulo,SP,22/02/2010,,,,3,254,2017,3,2017,4,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,1810,IFSP,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Ativa,,72017,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,120,2370,Semestral,,,6.00 Semestres,40,,,6.00 Semestres,80,,134128,IFSP - Campus São Paulo,Rua Pedro Vicente,625,,Canindé,3550308,São Paulo,SP,02/08/2004,2004-05-18,3,2010,3,270,2017,3,2017,4,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,1155933,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,230,2000,Semestral,,,4.0 Semestres,115,,,4.0 Semestres,115,,2641,Campus V - Chácara Santo Antônio,Rua Cancioneiro Popular,210,,Santo Amaro,3550308,São Paulo,SP,18/02/2010,,,,2,186,2017,2,2017,2,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,458,UNIB,UNIVERSIDADE IBIRAPUERA,Privada sem fins lucrativos,Universidade,Ativa,,1515589,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,240,2030,Semestral,,,5.00 Semestres,80,,,5.00 Semestres,160,,3507,Unidade sede - Chácara Flora,Avenida Interlagos,"1,329",,Jardim Marajoara,3550308,São Paulo,SP,Não iniciado,2019-10-29,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,123523,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,230,2000,Semestral,,,4.0 Semestres,115,,,4.0 Semestres,115,,2643,Campus VII - MARQUÊS,Avenida Marquês de São Vicente,3001,,Água Branca,3550308,São Paulo,SP,02/02/2009,2004-08-31,,,3,212,2017,3,2017,2,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,374,FMU,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,Privada sem fins lucrativos,Centro Universitário,Ativa,,80542,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,600,2102,Semestral,,,5.00 Semestres,80,,,5.00 Semestres,250,,1055408,FMU - Brigadeiro - Prédios 32/43/44,Avenida Brigadeiro Luís Antônio,1089/1095,FMU - Brigadeiro - Prédios 32/39/43/44,Bela Vista,3550308,São Paulo,SP,02/02/2004,2003-05-22,4,2013,3,293,2017,3,2017,3,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,360,UNIPAULISTANA,CENTRO UNIVERSITÁRIO PAULISTANO,Privada sem fins lucrativos,Centro Universitário,Ativa,,1160827,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,80,2054,Semestral,,,,,,,5.00 Semestres,80,,657852,CENTRO UNIVERSITÁRIO PAULISTANO,Rua Madre Cabrini,38,,Vila Mariana,3550308,São Paulo,SP,01/02/2011,2008-06-20,3,2015,,,,,,2,2014,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,1742,CSET DRUMMOND,FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE,Privada com fins lucrativos,Faculdade,Ativa,,47972,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,100,2540,Semestral,,,,,,,5.00 Semestres,100,,658731,CAMPUS - SÃO PAULO - TATUAPÉ,Rua Professor Pedreira de Freitas,401/415,,Tatuapé,3550308,São Paulo,SP,27/08/2001,2001-07-09,4,2018,4,337,2017,4,2017,3,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,221,UNICSUL,UNIVERSIDADE CRUZEIRO DO SUL,Privada com fins lucrativos,Universidade,Ativa,,1497553,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,200,2000,Semestral,,,4.00 Semestres,100,,,4.00 Semestres,100,,1107467,Campus Santo Amaro,Av. das Nações Unidas,18605,Anexo Parte,Vila Almeida,3550308,São Paulo,SP,03/02/2020,2019-08-06,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,793,ESTÁCIO SÃO PAULO,Centro Universitário Estácio de São Paulo,Privada com fins lucrativos,Centro Universitário,Ativa,,1526472,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,240,4040,Semestral,,,5.00 Semestres,120,,,5.00 Semestres,120,,24332,VILA DOS REMÉDIOS,Avenida dos Remédios,810,,Vila dos Remédios,3550308,São Paulo,SP,Não iniciado,2020-05-27,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,375,UNISA,UNIVERSIDADE SANTO AMARO,Privada sem fins lucrativos,Universidade,Ativa,,1452642,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,200,2080,Semestral,,,5.00 Semestres,100,,,5.00 Semestres,100,,1401,Campus II,Rua Isabel schimdt,349,Campus II,Santo Amaro,3550308,São Paulo,SP,01/08/2016,2016-06-09,5,2019,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,18711,FIMSP,FACULDADE INOVA MAIS DE SÃO PAULO,Privada sem fins lucrativos,Faculdade,Ativa,,1406161,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,100,2100,Semestral,,,,,,,5.00 Semestres,100,,1127369,UNIDADE ACADÊMICA MORUMBI SUL,Rua Nossa Senhora do Bom Conselho,351,UNIDADE ACADÊMICA MORUMBI SUL,Chácara Nossa Senhora do Bom Conselho,3550308,São Paulo,SP,16/08/2020,2018-12-26,3,2018,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,416,FASP,FACULDADE DE SÃO PAULO,Privada com fins lucrativos,Faculdade,Ativa,,9586,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,100,2000,Semestral,,,5.0 Semestres,40,5.0 semestres,10,5.0 Semestres,50,,1124535,SEDE NOVA,Rua Álvares Penteado,216,SEDE NOVA,Centro,3550308,São Paulo,SP,01/01/1985,1984-11-08,3,2014,0,,2017,0,2017,0,2017,0614C01,Ciência da computação,614,Ciência da computação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,123537,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,115,2000,Semestral,,,4.0 Semestres,55,,,4.0 Semestres,60,,695414,Campus XI - Tatuapé,RUA ANTONIO MACEDO,505,,PARQUE SÃO JORGE,3550308,São Paulo,SP,02/02/2009,2004-08-31,,,3,208,2017,3,2017,3,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,1279547,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,490,2280,Semestral,,,5.00 Semestres,70,,,5.00 Semestres,420,,1063075,VILA PRUDENTE,Avenida Professor Luiz Ignácio Anhaia Mello,1363,- até 2001 - lado ímpar,Vila Prudente,3550308,São Paulo,SP,05/02/2007,2006-06-14,4,2017,3,259,2017,2,2017,2,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,34,FATEC-SP,FACULDADE DE TECNOLOGIA DE SÃO PAULO,Pública Estadual,Faculdade,Ativa,,121131,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,160,2433,Semestral,,,6.0 Semestres,40,6.0 semestres,40,8.0 Semestres,80,,1041361,Campus Principal,Praça Coronel Fernando Prestes,30,,BOM RETIRO,3550308,São Paulo,SP,08/02/2008,2008-04-29,,,3,253,2017,3,2017,4,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,1853,,Centro Universitário UNIBTA,Privada com fins lucrativos,Centro Universitário,Ativa,,96934,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,200,2320,Semestral,,,5.00 Semestres,100,,,5.00 Semestres,100,,1082239,Centro Universitário UNIBTA,Rua Cubatão,726,Centro Universitário UNIBTA,Vila Mariana,3550308,São Paulo,SP,28/01/2004,2003-11-14,,,2,129,2017,2,2017,2,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,1365,UNASP,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,Privada sem fins lucrativos,Centro Universitário,Ativa,,87148,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,100,2216,Semestral,,,,,,,5.0 Semestres,100,,658431,UNASP Campus São Paulo,Estrada de Itapecerica,5859,,Jardim IAE,3550308,São Paulo,SP,14/02/2005,2004-08-05,4,2017,3,274,2017,3,2017,3,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,1388,,CENTRO UNIVERSITÁRIO SUMARÉ,Privada com fins lucrativos,Centro Universitário,Ativa,,1496300,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,100,2000,Semestral,,,,,,,4.00 Semestres,100,,1079910,CENTRO UNIVERSITÁRIO SUMARÉ - Unidade Acadêmica Sumaré,Avenida Doutor Arnaldo,1753,CENTRO UNIVERSITÁRIO SUMARÉ - Unidade Acadêmica Sumaré,Sumaré,3550308,São Paulo,SP,Não iniciado,2019-08-13,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,114097,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,115,2000,Semestral,,,,,,,4.0 Semestres,115,,2642,CIDADE UNIVERSITÁRIA,Avenida Torres de Oliveira,330,,Jaguaré,3550308,São Paulo,SP,11/02/2008,2002-08-16,4,2011,3,259,2017,4,2017,2,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1315664,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,270,2030,Semestral,,,5.00 Semestres,90,,,5.00 Semestres,180,,657779,UNIDADE SEDE,Rua Taquari,546,,Mooca,3550308,São Paulo,SP,01/01/2015,2014-12-04,4,2016,4,302,2017,3,2017,2,2017,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,319,UB,UNIVERSIDADE BRASIL,Privada sem fins lucrativos,Universidade,Ativa,"Em Supervisão - Procedimento Sancionador com Medida Cautelar, Sub Judice",1485093,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,100,2000,Semestral,,,6.00 Semestres,50,,,6.00 Semestres,50,,1105456,Campus VI - Mooca,Rua Ibipetuba,130,,Centro,3550308,São Paulo,SP,Não iniciado,2019-06-09,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,793,ESTÁCIO SÃO PAULO,Centro Universitário Estácio de São Paulo,Privada com fins lucrativos,Centro Universitário,Ativa,,1526514,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,240,4040,Semestral,,,5.00 Semestres,120,,,5.00 Semestres,120,,25759,INTERLAGOS,Av. Jangadeiro,111,,Interlagos,3550308,São Paulo,SP,03/08/2020,2020-05-27,,,,,,,,,,,,,,,,,
2,221,UNICSUL,UNIVERSIDADE CRUZEIRO DO SUL,Privada com fins lucrativos,Universidade,Ativa,,1427577,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,300,2000,Semestral,,,4.00 Semestres,100,,,4.00 Semestres,200,,1085415,POLO SP_PAULISTA,Avenida Paulista,"1,415",Campus Paulista,Bela Vista,3550308,São Paulo,SP,19/02/2018,2017-11-17,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,898,UNISAN,Centro Universitário Unisan,Privada sem fins lucrativos,Centro Universitário,Ativa,,1332807,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,180,2203,Semestral,,,,,,,4.00 Semestres,30,,658154,CAMPUS - SÃO PAULO - JAÇANÃ,Avenida Jaçanã,648,,Jaçanã,3550308,São Paulo,SP,07/02/2017,2016-04-04,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
2,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1474033,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Educação Presencial,Em atividade,80,2030,Semestral,,,5.00 Semestres,40,,,5.00 Semestres,40,,1095581,Unidade Vila Leopoldina,Avenida Imperatriz Leopoldina,184,Unidade Vila Leopoldina,Vila Leopoldina,3550308,São Paulo,SP,22/03/2019,2019-03-14,,,,,,,,,,0615S02,Sistemas de informação,615,Gestão e desenvolvimento de sistemas de informação,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
