codigo curso,Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano,Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE,Área Geral CINE
3,374,FMU,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,Privada sem fins lucrativos,Centro Universitário,Ativa,,1562954,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,160,3603,Semestral,,,10.00 Semestres,80,,,10.00 Semestres,80,,1055408,FMU - Brigadeiro - Prédios 32/43/44,Avenida Brigadeiro Luís Antônio,1089/1095,FMU - Brigadeiro - Prédios 32/39/43/44,Bela Vista,3550308,São Paulo,SP,44053,43976,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,3985,SENACSP,CENTRO UNIVERSITÁRIO SENAC,Privada sem fins lucrativos,Centro Universitário,Ativa,,1177665,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,50,4192,Semestral,,,,,,,10.00 Semestres,50,,659695,SAO PAULO (SEDE),Av. Engenheiro Eusébio Stevaux,nº 823,,Jurubatuba,3550308,São Paulo,SP,40945,40630,5,2019,3,243,2019,3,2019,3,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,5387,IMPACTA,FACULDADE IMPACTA,Privada sem fins lucrativos,Faculdade,Ativa,,1439766,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,200,4040,Semestral,,,8.00 Semestres,50,,,8.00 Semestres,100,,1069717,Campus Rudge,Rua do Bosque,60,Campus Rudge,Barra Funda,3550308,São Paulo,SP,43514,43298,,,,,,,,,,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,417,UNICID,UNIVERSIDADE CIDADE DE SÃO PAULO,Privada com fins lucrativos,Universidade,Ativa,,1107877,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em extinção,120,3600,Semestral,,,,,,,10.0 Semestres,120,,1002328,Universidade Cidade de São Paulo - UNICID - Sede,Rua Cesário Galero,448/475,474,Tatuapé,3550308,São Paulo,SP,40211,38574,4,2013,0,,2017,0,2017,0,2017,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,4104,ESEG,ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG,Privada com fins lucrativos,Faculdade,Ativa,,1364595,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,200,3803,Semestral,,,10.00 Semestres,100,,,10.00 Semestres,100,,659762,CAMPUS - SÃO PAULO - SP - Vila Mariana,Rua Vergueiro,1951,,Vila Mariana,3550308,São Paulo,SP,Não iniciado,42825,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,55,USP,UNIVERSIDADE DE SÃO PAULO,Pública Estadual,Universidade,Ativa,,5000846,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,73,5820,Semestral,10.00 Semestres,73,,,,,,,,1075920,Escola Politécnica - EP,Avenida Professor Luciano Gualberto,380,Travessa 03 (Escola Politécnica),Butantã,3550308,São Paulo,SP,32636,,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,206,UNIÍTALO,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,Privada sem fins lucrativos,Centro Universitário,Ativa,,1306162,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Extinto,200,3764,Semestral,,,10.0 Semestres,100,,,10.0 Semestres,100,Em Desativação/Extinção voluntária,1043954,Sede - Santo Amaro,Avenida João Dias,2046,,Santo Amaro,3550308,São Paulo,SP,42200,41866,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,319,UB,UNIVERSIDADE BRASIL,Privada sem fins lucrativos,Universidade,Ativa,"Em Supervisão - Procedimento Sancionador com Medida Cautelar, Sub Judice",1314345,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Extinto,100,3600,Semestral,,,,,,,10.00 Semestres,100,,657834,Campus Sede - Itaquera,Rua Carolina Fonseca,584,,ITAQUERA,3550308,São Paulo,SP,Não iniciado,41870,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,376,,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,Privada com fins lucrativos,Centro Universitário,Ativa,,1403872,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,100,3825,Semestral,,,10.00 Semestres,50,,,10.00 Semestres,50,,1056226,Vila Mariana,Rua Afonso Celso,235,Vila Mariana,Vila Mariana,3550308,São Paulo,SP,43157,42887,,,,,,,,,,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,1294,CAM,Centro Universitário das Américas,Privada com fins lucrativos,Centro Universitário,Ativa,,1515718,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,320,4160,Semestral,,,10.00 Semestres,160,,,10.00 Semestres,160,,1070193,Campus Mooca,Rua Borges de Figueiredo,510,- até 599/600,Mooca,3550308,São Paulo,SP,43878,43770,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,38703,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,460,3600,Semestral,,,10.0 Semestres,230,,,10.0 Semestres,230,,657837,CAMPUS INDIANÓPOLIS,Rua Doutor Bacelar,1212,,Mirandópolis,3550308,São Paulo,SP,32905,32828,,,3,209,2019,2,2019,1,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1570644,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,120,3780,Semestral,,,10.00 Semestres,60,,,10.00 Semestres,60,,7609,Unidade Butantã,Avenida Vital Brasil,1000,Unidade Butantã,Butantã,3550308,São Paulo,SP,44292,44286,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,456,UNISANT'ANNA,CENTRO UNIVERSITÁRIO SANT´ANNA,Privada sem fins lucrativos,Centro Universitário,Ativa,,21713,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,120,3783,Semestral,,,10.00 Semestres,60,,,10.00 Semestres,60,,657908,CAMPUS - SÃO PAULO - SANTANA,Rua Voluntários da Pátria,257,CAMPUS - SÃO PAULO - SANTANA,Santana,3550308,São Paulo,SP,36374,36362,4,2018,2,189,2019,2,2019,1,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,466,UAM,UNIVERSIDADE ANHEMBI MORUMBI,Privada com fins lucrativos,Universidade,Ativa,,1166284,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,120,3603,Semestral,,,10.00 Semestres,60,,,10.00 Semestres,60,,707833,CAMPUS VILA OLIMPIA,Rua Casa do Ator,294,Nºs 275 e 294,Vila Olímpia,3550308,São Paulo,SP,40940,40725,4,2016,3,264,2019,3,2019,2,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,376,,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,Privada com fins lucrativos,Centro Universitário,Ativa,,1403869,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,100,3600,Semestral,,,10.00 Semestres,50,,,10.00 Semestres,50,,1056207,MARTE,Avenida Braz Leme,3029,MARTE,Santana,3550308,São Paulo,SP,43157,42887,,,,,,,,,,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1420198,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,180,3600,Semestral,,,10.00 Semestres,90,,,10.00 Semestres,90,,1083604,Unidade Jabaquara,Avenida Jabaquara,1870,Unidade Jabaquara,Mirandópolis,3550308,São Paulo,SP,44272,43027,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1473932,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,80,3600,Semestral,,,10.0 Semestres,40,,,10.0 Semestres,40,,1097321,Unidade Santana,Rua Voluntários da Pátria,2624,- de 2622 a 2898 - lado par,Santana,3550308,São Paulo,SP,43546,43538,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,5500,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,360,4400,Semestral,,,10.0 Semestres,90,10.0 semestres,90,10.0 Semestres,180,,657779,UNIDADE SEDE,Rua Taquari,546,,Mooca,3550308,São Paulo,SP,34386,34135,,,3,280,2019,3,2019,3,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,376,,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,Privada com fins lucrativos,Centro Universitário,Ativa,,1323716,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em extinção,150,3900,Semestral,,,,,,,10.00 Semestres,150,,1056227,CAMPO LIMPO,Estrada do Campo Limpo,3677,,Campo Limpo,3550308,São Paulo,SP,42779,42768,,,,,,,,,,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1474136,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,80,3600,Semestral,,,10.0 Semestres,40,,,10.0 Semestres,40,,1095581,Unidade Vila Leopoldina,Avenida Imperatriz Leopoldina,184,Unidade Vila Leopoldina,Vila Leopoldina,3550308,São Paulo,SP,43546,43538,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,852,,FIAP - Centro Universitário,Privada com fins lucrativos,Centro Universitário,Ativa,,105690,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,300,3600,Anual,,,5.00 Anos,150,,,5.00 Anos,150,,658138,UNIDADE SEDE,Avenida Lins de Vasconcelos,1264,,Cambuci,3550308,São Paulo,SP,39329,39329,4,2018,4,316,2019,3,2019,2,2019,6160,Engenharia de computação (DCN Computação),616,Desenvolvimento de sistemas que integram software e hardware,61,Computação e Tecnologias da Informação e Comunicação (TIC),6,Computação e Tecnologias da Informação e Comunicação (TIC)
3,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,1156010,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,460,3600,Semestral,,,10.0 Semestres,230,,,10.0 Semestres,230,,2639,Campus III - Anchieta,Rua Francisco Bautista,300,Km 12 da Rodovia Anchieta,Jardim Santa Cruz,3550308,São Paulo,SP,40227,,,,0,,2019,0,2019,0,2019,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
3,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1420141,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,Educação Presencial,Em atividade,180,3780,Semestral,,,10.00 Semestres,90,,,10.00 Semestres,90,,1082211,Paulista,Avenida Angélica,2563,Paulista,Bela Vista,3550308,São Paulo,SP,43132,42964,,,,,,,,,,7140000,Engenharia de computação (DCN Engenharia),714,Eletrônica e automação,71,Engenharia e profissões correlatas,7,"Engenharia, produção e construção"
