codigo curso,Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano, Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE , Área Geral CINE 
4,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1420151,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,180,3000,Semestral,,,8.00 Semestres,90,,,8.00 Semestres,90,,1082210,Unidade Santo Amaro,Av. Alexandre Dumas,2016,Unidade Santo Amaro,Chácara Santo Antônio (Zona Sul),000000003550308,São Paulo,SP,17/03/2021,2017-08-17,,,,,,,,,,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,19508,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,360,3920,Semestral,,,8.0 Semestres,90,,,8.0 Semestres,270,,657779,UNIDADE SEDE,Rua Taquari,546,,Mooca,000000003550308,São Paulo,SP,02/02/1998,1997-06-18,5,2004,4,335,2017,3,2017,4,2017,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1542815,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,120,3140,Semestral,,,8.00 Semestres,60,,,8.00 Semestres,60,,1095581,Unidade Vila Leopoldina,Avenida Imperatriz Leopoldina,184,Unidade Vila Leopoldina,Vila Leopoldina,000000003550308,São Paulo,SP,18/09/2020,2020-09-11,,,,,,,,,,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,1258853,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,460,3000,Semestral,,,8.0 Semestres,230,,,8.0 Semestres,230,,2642,CIDADE UNIVERSITÁRIA,Avenida Torres de Oliveira,330,,Jaguaré,000000003550308,São Paulo,SP,04/02/2013,2013-06-20,,,,,,,,,,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,1116224,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,350,3440,Semestral,,,8.00 Semestres,70,,,8.00 Semestres,280,,706703,UNIDADE VERGUEIRO SEDE,Rua Vergueiro,235,,Liberdade,000000003550308,São Paulo,SP,02/02/2009,2008-09-29,4,2012,4,326,2017,3,2017,3,2017,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,852,,FIAP - Centro Universitário,Privada com fins lucrativos,Centro Universitário,Ativa,,1536095,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,200,3600,Anual,,,4.00 Anos,200,,,,,,1045358,UNIDADE PAULISTA,Avenida Paulista,1106,"7º Andar, Conjunto 71, 72, 73 e 74",Bela Vista,000000003550308,São Paulo,SP,22/02/2021,2020-06-01,,,,,,,,,,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,1279551,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,140,3440,Semestral,,,8.00 Semestres,15,,,8.00 Semestres,475,,1063075,VILA PRUDENTE,Avenida Professor Luiz Ignácio Anhaia Mello,1363,- até 2001 - lado ímpar,Vila Prudente,000000003550308,São Paulo,SP,05/02/2010,2008-09-29,5,2019,,,,,,,,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,1388,,CENTRO UNIVERSITÁRIO SUMARÉ,Privada com fins lucrativos,Centro Universitário,Ativa,,20499,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,115,3000,Semestral,,,,,,,8.0 Semestres,115,,1079910,CENTRO UNIVERSITÁRIO SUMARÉ - Unidade Acadêmica Sumaré,Avenida Doutor Arnaldo,1753,CENTRO UNIVERSITÁRIO SUMARÉ - Unidade Acadêmica Sumaré,Sumaré,000000003550308,São Paulo,SP,01/03/2000,1999-11-03,3,2011,3,258,2017,3,2017,2,2017,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,22,MACKENZIE,UNIVERSIDADE PRESBITERIANA MACKENZIE,Privada sem fins lucrativos,Universidade,Ativa,,21446,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,360,3198,Semestral,,,8.0 Semestres,100,,,8.0 Semestres,160,,657684,CAMPUS  - SÃO PAULO - CONSOLAÇÃO,Rua da Consolação,896,Campus São Paulo,Consolação,000000003550308,São Paulo,SP,05/11/1997,1997-11-05,,,3,291,2017,3,2017,3,2017,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,1385,FIPEP,FACULDADES INTEGRADAS IPEP,Privada sem fins lucrativos,Faculdade ,Ativa,,22060,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,150,3200,Semestral,,,8.0 Semestres,0,,,8.0 Semestres,150,,25552,Campus Liberdade,Rua Pirapitingui,186 ,,Liberdade,000000003550308,São Paulo,SP,01/08/2000,2000-07-07,3,2012,0,,2011,4,2005,2,2011,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,636,ESPM,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,Privada sem fins lucrativos,Faculdade ,Ativa,,1203424,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,200,3450,Semestral,8.00 Semestres,200,,,,,,,,3407,Joaquim Távora,Rua Joaquim Távora,1240,Joaquim Távora,Vila Mariana,000000003550308,São Paulo,SP,04/08/2014,2013-10-25,5,2017,4,373,2017,5,2017,5,2017,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,1134235,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,500,3440,Semestral,,,8.00 Semestres,220,,,8.00 Semestres,280,,25206,SANTO AMARO,Rua Amador Bueno,389/491,,Santo Amaro,000000003550308,São Paulo,SP,02/02/2009,2008-09-29,4,2012,4,306,2017,3,2017,2,2017,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
4,55,USP,UNIVERSIDADE DE SÃO PAULO,Pública Estadual,Universidade,Ativa,,91611,SISTEMAS DE INFORMAÇÃO,Bacharelado,Educação Presencial,Em atividade,180,3300,Semestral,,,8.0 Semestres,60,,,8.0 Semestres,120,,4255,"Escola de Artes, Ciências e Humanidades - EACH",Rua Arlindo Bettio,1,"Escola de Artes, Ciências e Humanidades",Vila Guaraciaba,000000003550308,São Paulo,SP,01/01/2005,2004-05-18,,,,,,,,,,0615S02,Sistemas de informação,0615,Gestão e desenvolvimento de sistemas de informação,061,Computação e Tecnologias da Informação e Comunicação (TIC),06,Computação e Tecnologias da Informação e Comunicação (TIC)
