codigo_curso;Código_da_IES;Sigla_da_IES;Nome_daIES;Categoria_Administrativa;Organização_Acadêmica;Situaçao_da_IES;Sinalização_da_IES;Código_do_Curso;Nome_do_Curso;Grau;Modalidade;Situação_do_Curso;Qt._Vagas_Autorizadas;Carga_Horária;Tipo_de_Periodicidade;Integralização_-_Turno_Integral;Quantitativo_de_Vagas_-_Integral;Integralização_-_Turno_Matutino;Quantitativo_de_Vagas_-_Matutino;Integralização_-_Turno_Vespertino;Quantitativo_de_Vagas_-_Vespertino;Integralização_-_Turno_Noturno;Quantitativo_de_Vagas_-_Noturno;Sinalização_do_Curso;Código_do_Endereço;Nome_do_Campus;Endereço;Número_Endereço;Complemento;Bairro;Código_do_Município;Município;UF;Início_Funcionamento;Data_Ato_de_Criação;Valor_CC;Ano_CC;CPC_Faixa;CPC_Contínuo;CPC_Ano;Valor_IDD;IDD_Ano;Valor_ENADE;ENADE_Ano;Código_Rótulo_CINE;Rótulo_CINE;Código_Área_Detalhada_CINE;Área_Detalhada_CINE;Código_Área_Específica_CINE;Área_Específica_CINE;Código_Área_Geral_CINE;Área_Geral_CINE
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;19558;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;460;3000;Semestral;;;8.0 Semestres;230;;;8.0 Semestres;230;;2646;Campus X - Norte;Rua Amazonas da Silva;737;;Vila Guilherme;3550308;São Paulo;SP;09/02/1998;06/10/1987;;;3;294;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;69815;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;230;3000;Semestral;;;;;;;8.0 Semestres;230;;2639;Campus III - Anchieta;Rua Francisco Bautista;300;Km 12 da Rodovia Anchieta;Jardim Santa Cruz;3550308;São Paulo;SP;14/02/2001;;;;4;299;2017;4;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;322;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;Ativa;;69764;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;460;3000;Semestral;;;8.0 Semestres;230;;;8.0 Semestres;230;;695414;Campus XI - Tatuapé;RUA ANTONIO MACEDO;505;;PARQUE SÃO JORGE;3550308;São Paulo;SP;14/02/2001;06/10/1987;;;4;334;2017;4;2017;3;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;18711;FIMSP;FACULDADE INOVA MAIS DE SÃO PAULO;Privada com fins lucrativos;Faculdade;Ativa;;1441498;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;100;3200;Semestral;;;8.00 Semestres;50;8.00 semestres;50;;;;1065862;Campus Principal;Avenida Rangel Pestana;1105;- de 501 ao fim - lado ímpar;Brás;3550308;São Paulo;SP;29/10/2020;02/10/2020;4;2020;;;;;;;;;;;;;;;
1;374;FMU;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;Privada sem fins lucrativos;Centro Universitário;Ativa;;1574854;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;160;6606;Semestral;;;8.00 Semestres;60;;;8.00 Semestres;100;;708152;FMU - Morumbi;Av. Morumbi;501;FMU - Morumbi;Morumbi;3550308;São Paulo;SP;Não iniciado;01/05/2021;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;316;UNINOVE;UNIVERSIDADE NOVE DE JULHO;Privada sem fins lucrativos;Universidade;Ativa;;72331;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;630;3640;Semestral;;;8.00 Semestres;200;;;8.00 Semestres;430;;706703;UNIDADE VERGUEIRO SEDE;Rua Vergueiro;235;;Liberdade;3550308;São Paulo;SP;01/03/2004;31/07/1992;;;3;269;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;5387;IMPACTA;FACULDADE IMPACTA;Privada sem fins lucrativos;Faculdade;Ativa;;1454957;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;150;3840;Semestral;;;8.0 Semestres;50;;;8.0 Semestres;100;;1069717;Campus Rudge;Rua do Bosque;60;Campus Rudge;Barra Funda;3550308;São Paulo;SP;13/05/2019;17/12/2018;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;1388;;CENTRO UNIVERSITÁRIO SUMARÉ;Privada com fins lucrativos;Centro Universitário;Ativa;;21305;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;150;3200;Semestral;;;8.00 Semestres;150;;;;;;658445;CENTRO UNIVERSITÁRIO SUMARÉ - Unidade Acadêmica Sumaré Sede;Rua Capote Valente;1121;de 1025/1026 ao fim;Pinheiros;3550308;São Paulo;SP;01/03/2000;25/02/2000;4;2019;3;281;2017;2;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;221;UNICSUL;UNIVERSIDADE CRUZEIRO DO SUL;Privada com fins lucrativos;Universidade;Ativa;;1454414;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;200;3200;Semestral;;;8.00 Semestres;100;;;8.00 Semestres;100;;1543;POLO SP_ANALIA FRANCO;Av. Regente Feijó;1.295;Jardim Anália Franco;Tatuapé;3550308;São Paulo;SP;20/02/2019;08/08/2018;;;;;;;;;;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
1;316;UNINOVE;UNIVERSIDADE NOVE DE JULHO;Privada sem fins lucrativos;Universidade;Ativa;;66272;CIÊNCIA DA COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;560;3640;Semestral;;;8.00 Semestres;220;;;8.00 Semestres;340;;1801;MEMORIAL;Rua Adolfo Pinto;109;;Barra Funda;3550308;São Paulo;SP;02/03/2001;31/07/1992;;;3;269;2017;3;2017;2;2017;0614C01;Ciência da computação;614;Ciência da computação;61;Computação e Tecnologias da Informação e Comunicação (TIC);6;Computação e Tecnologias da Informação e Comunicação (TIC)
