codigo_curso;Sigla_da_IES;Nome_da_IES;Categoria_Administrativa;Organizacao_Academica
1;FMU;CENTRO UNIVERSITaRIO DAS FACULDADES METROPOLITANAS UNIDAS;Privada sem fins lucrativos;Centro Universitario
1;SENACSP;CENTRO UNIVERSITaRIO SENAC;Privada sem fins lucrativos;Centro Universitario
1;IMPACTA;FACULDADE IMPACTA;Privada sem fins lucrativos;Faculdade
1;UNICID;UNIVERSIDADE CIDADE DE SaO PAULO;Privada com fins lucrativos;Universidade
1;ESEG;ESCOLA SUPERIOR DE ENGENHARIA E GESTaO DE SaO PAULO - ESEG;Privada com fins lucrativos;Faculdade
1;USP;UNIVERSIDADE DE SaO PAULO;Publica Estadual;Universidade
1;UNIiTALO;CENTRO UNIVERSITaRIO iTALO-BRASILEIRO;Privada sem fins lucrativos;Centro Universitario
1;UB;UNIVERSIDADE BRASIL;Privada sem fins lucrativos;Universidade
1;;CENTRO UNIVERSITaRIO ANHANGUERA DE SaO PAULO;Privada com fins lucrativos;Centro Universitario
1;CAM;Centro Universitario das Américas;Privada com fins lucrativos;Centro Universitario
1;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade
1;USJT;UNIVERSIDADE SaO JUDAS TADEU;Privada com fins lucrativos;Universidade
1;UNISANT'ANNA;CENTRO UNIVERSITaRIO SANT´ANNA;Privada sem fins lucrativos;Centro Universitario
1;UAM;UNIVERSIDADE ANHEMBI MORUMBI;Privada com fins lucrativos;Universidade
1;;CENTRO UNIVERSITaRIO ANHANGUERA DE SaO PAULO;Privada com fins lucrativos;Centro Universitario
1;USJT;UNIVERSIDADE SaO JUDAS TADEU;Privada com fins lucrativos;Universidade
1;USJT;UNIVERSIDADE SaO JUDAS TADEU;Privada com fins lucrativos;Universidade
1;USJT;UNIVERSIDADE SaO JUDAS TADEU;Privada com fins lucrativos;Universidade
1;;CENTRO UNIVERSITaRIO ANHANGUERA DE SaO PAULO;Privada com fins lucrativos;Centro Universitario
1;USJT;UNIVERSIDADE SaO JUDAS TADEU;Privada com fins lucrativos;Universidade
1;;FIAP - Centro Universitario;Privada com fins lucrativos;Centro Universitario
1;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade
1;USJT;UNIVERSIDADE SaO JUDAS TADEU;Privada com fins lucrativos;Universidade
1;USJT;UNIVERSIDADE SaO JUDAS TADEU;Privada com fins lucrativos;Universidade
1;USP;UNIVERSIDADE DE SaO PAULO;Publica Estadual;Universidade
1;CAM;Centro Universitario das Américas;Privada com fins lucrativos;Centro Universitario
1;FVG;Faculdade Van Gogh;Privada com fins lucrativos;Faculdade
1;UNASP;CENTRO UNIVERSITaRIO ADVENTISTA DE SaO PAULO;Privada sem fins lucrativos;Centro Universitario
1;;CENTRO UNIVERSITaRIO ANHANGUERA DE SaO PAULO;Privada com fins lucrativos;Centro Universitario
1;;INSPER INSTITUTO DE ENSINO E PESQUISA;Privada sem fins lucrativos;Faculdade
1;ESTaCIO SaO PAULO;Centro Universitario Estacio de Sao Paulo;Privada com fins lucrativos;Centro Universitario
1;UNIFAI;CENTRO UNIVERSITaRIO ASSUNcaO;Privada sem fins lucrativos;Centro Universitario
1;ESTaCIO SaO PAULO;Centro Universitario Estacio de Sao Paulo;Privada com fins lucrativos;Centro Universitario
1;;Centro Universitario UNIBTA;Privada com fins lucrativos;Centro Universitario
1;ESTaCIO SaO PAULO;Centro Universitario Estacio de Sao Paulo;Privada com fins lucrativos;Centro Universitario
