codigo_curso;Sigla_da_IES;Nome_da_IES;Categoria_Administrativa;Organização_Acadêmica;Nome_do_Curso;Grau;Modalidade;Situação_do_Curso;Qt_Vagas_Autorizadas;Carga_Horária;Tipo_de_Periodicidade;Integralização_Turno_Integral;Quantitativo_de_Vagas_Integral;Integralização_Turno_Matutino;Quantitativo_de_Vagas_Matutino;Integralização_Turno_Vespertino;Quantitativo_de_Vagas_Vespertino;Integralização_Turno_Noturno;Quantitativo_de_Vagas_Noturno;Sinalização_do_Curso;Código_do_Endereço;Nome_do_Campus;Endereço;Número_Endereço;Complemento;Bairro
1;FMU;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;Privada sem fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;160;3603;Semestral;;;10.00 Semestres;80;;;10.00 Semestres;80;;1055408;FMU - Brigadeiro - Prédios 32/43/44;Avenida Brigadeiro Luís Antônio;1089/1095;FMU - Brigadeiro - Prédios 32/39/43/44;Bela Vista
1;SENACSP;CENTRO UNIVERSITÁRIO SENAC;Privada sem fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;50;4192;Semestral;;;;;;;10.00 Semestres;50;;659695;SAO PAULO (SEDE);Av. Engenheiro Eusébio Stevaux;nº 823;;Jurubatuba
1;IMPACTA;FACULDADE IMPACTA;Privada sem fins lucrativos;Faculdade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;200;4040;Semestral;;;8.00 Semestres;50;;;8.00 Semestres;100;;1069717;Campus Rudge;Rua do Bosque;60;Campus Rudge;Barra Funda
1;UNICID;UNIVERSIDADE CIDADE DE SÃO PAULO;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em extinção;120;3600;Semestral;;;;;;;10.0 Semestres;120;;1002328;Universidade Cidade de São Paulo - UNICID - Sede;Rua Cesário Galero;448/475;474;Tatuapé
1;ESEG;ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG;Privada com fins lucrativos;Faculdade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;200;3803;Semestral;;;10.00 Semestres;100;;;10.00 Semestres;100;;659762;CAMPUS - SÃO PAULO - SP - Vila Mariana;Rua Vergueiro;1951;;Vila Mariana
1;USP;UNIVERSIDADE DE SÃO PAULO;Pública Estadual;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;73;5820;Semestral;10.00 Semestres;73;;;;;;;;1075920;Escola Politécnica - EP;Avenida Professor Luciano Gualberto;380;Travessa 03 (Escola Politécnica);Butantã
1;UNIÍTALO;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;Privada sem fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Extinto;200;3764;Semestral;;;10.0 Semestres;100;;;10.0 Semestres;100;Em Desativação/Extinção voluntária;1043954;Sede - Santo Amaro;Avenida João Dias;2046;;Santo Amaro
1;UB;UNIVERSIDADE BRASIL;Privada sem fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Extinto;100;3600;Semestral;;;;;;;10.00 Semestres;100;;657834;Campus Sede - Itaquera;Rua Carolina Fonseca;584;;ITAQUERA
1;;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;100;3825;Semestral;;;10.00 Semestres;50;;;10.00 Semestres;50;;1056226;Vila Mariana;Rua Afonso Celso;235;Vila Mariana;Vila Mariana
1;CAM;Centro Universitário das Américas;Privada com fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;320;4160;Semestral;;;10.00 Semestres;160;;;10.00 Semestres;160;;1070193;Campus Mooca;Rua Borges de Figueiredo;510;- até 599/600;Mooca
1;UNIP;UNIVERSIDADE PAULISTA;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;460;3600;Semestral;;;10.0 Semestres;230;;;10.0 Semestres;230;;657837;CAMPUS INDIANÓPOLIS;Rua Doutor Bacelar;1212;;Mirandópolis
1;USJT;UNIVERSIDADE SÃO JUDAS TADEU;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;120;3780;Semestral;;;10.00 Semestres;60;;;10.00 Semestres;60;;7609;Unidade Butantã;Avenida Vital Brasil;1000;Unidade Butantã;Butantã
1;UNISANT'ANNA;CENTRO UNIVERSITÁRIO SANT´ANNA;Privada sem fins lucrativos;Centro Universitário;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;120;3783;Semestral;;;10.00 Semestres;60;;;10.00 Semestres;60;;657908;CAMPUS - SÃO PAULO - SANTANA;Rua Voluntários da Pátria;257;CAMPUS - SÃO PAULO - SANTANA;Santana
1;UAM;UNIVERSIDADE ANHEMBI MORUMBI;Privada com fins lucrativos;Universidade;ENGENHARIA DE COMPUTAÇÃO;Bacharelado;Educação Presencial;Em atividade;120;3603;Semestral;;;10.00 Semestres;60;;;10.00 Semestres;60;;707833;CAMPUS VILA OLIMPIA;Rua Casa do Ator;294;Nºs 275 e 294;Vila Olímpia
